Item,Quantity,Price (CAD),Link,Source,Note
DC Motor,1,1.41,https://www.aliexpress.com/item/1005005649744869.html?spm=a2g0o.productlist.main.1.4753hqvYhqvY9f&algo_pvid=0927eba2-b35f-4f01-839b-6f5b248100bf&algo_exp_id=0927eba2-b35f-4f01-839b-6f5b248100bf-0&pdp_ext_f=%7B%22order%22%3A%222237%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.69%211.41%21%21%2122.30%216.72%21%4021033d1217810486621011231e9418%2112000040971989744%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207285327&curPageLogUid=3cTtTx38AGe4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005649744869%7C_p_origin_prod%3A,Aliexpress,*Does not come with pre soldered wires*
Servo Motor,1,1.41,https://www.aliexpress.com/item/1005005929037037.html?spm=a2g0o.productlist.main.3.3c106161T3FZ1p&algo_pvid=351ff8f9-281d-4b50-88e1-453b510ef2a8&algo_exp_id=351ff8f9-281d-4b50-88e1-453b510ef2a8-2&pdp_ext_f=%7B%22order%22%3A%22379%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.64%211.41%21%21%211.85%210.99%21%40210328db17810487421868279ed994%2112000034890725132%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=hmxGweT7Ycne&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005929037037%7C_p_origin_prod%3A,Aliexpress,
Sonar Sensor,1,1.91,https://www.aliexpress.com/item/1005012261674383.html?spm=a2g0o.productlist.main.4.331b7c5fENZZpZ&aem_p4p_detail=202606101522225145609201610860001265864&algo_pvid=17696332-7a33-41fa-8ab7-2c36b7ec181b&algo_exp_id=17696332-7a33-41fa-8ab7-2c36b7ec181b-3&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.91%211.73%21%21%219.06%218.19%21%402101d49617811301424984563e70a6%2112000057907082904%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=lajurDIYcUhv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012261674383%7C_p_origin_prod%3A&search_p4p_id=202606101522225145609201610860001265864_1,Aliexpress,
Breadboard,1,1.96,https://www.aliexpress.com/item/1005008642599597.html?spm=a2g0o.productlist.main.8.bfd362254ny6rz&aem_p4p_detail=202606101518202908597134409590001263423&algo_pvid=02fd83bc-cd0f-43ec-93c4-cef20e33bebf&algo_exp_id=02fd83bc-cd0f-43ec-93c4-cef20e33bebf-7&pdp_ext_f=%7B%22order%22%3A%22335%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.96%211.14%21%21%219.32%215.41%21%402101d6ff17811299001135630e435a%2112000046068037082%21sea%21CA%210%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=UvXNJ9WUh2Zv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008642599597%7C_p_origin_prod%3A&search_p4p_id=202606101518202908597134409590001263423_2,Aliexpress,
Male to Male Wires,17,2.81,https://www.aliexpress.com/item/1005008002801706.html?spm=a2g0o.productlist.main.1.3ea47502UMF57O&algo_pvid=ffb2e79c-0760-40c3-bbf6-d1757e854748&algo_exp_id=ffb2e79c-0760-40c3-bbf6-d1757e854748-0&pdp_ext_f=%7B%22order%22%3A%221415%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.66%211.41%21%21%2112.63%216.68%21%40210325a917809758168247944e1a2b%2112000043227171184%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=bpxo4v0AZqwf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008002801706%7C_p_origin_prod%3A,Aliexpress,1 Comes with 40
Female to Male Wires,4,2.76,https://www.aliexpress.com/item/1005008002801706.html?spm=a2g0o.productlist.main.1.3ea47502UMF57O&algo_pvid=ffb2e79c-0760-40c3-bbf6-d1757e854748&algo_exp_id=ffb2e79c-0760-40c3-bbf6-d1757e854748-0&pdp_ext_f=%7B%22order%22%3A%221415%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.66%211.41%21%21%2112.63%216.68%21%40210325a917809758168247944e1a2b%2112000043227171184%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=bpxo4v0AZqwf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008002801706%7C_p_origin_prod%3A,Aliexpress,1 Comes with 40
Battery Pack x4,1,2.78,https://www.aliexpress.com/item/1005004197639879.html?spm=a2g0o.productlist.main.3.78bcrN2irN2iWq&algo_pvid=3959816d-988b-433e-b181-fdd8f41c9674&algo_exp_id=3959816d-988b-433e-b181-fdd8f41c9674-2&pdp_ext_f=%7B%22order%22%3A%22902%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.31%211.41%21%21%2110.96%216.68%21%402103110517810489165878544ef627%2112000028350237278%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=ckLS0CoZgpTw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004197639879%7C_p_origin_prod%3A,Aliexpress,
AA Battery,4,6.41,https://www.aliexpress.com/item/1005009032251207.html?spm=a2g0o.productlist.main.2.5e2d10cbQC1hlM&algo_pvid=d5b36faa-3119-41e6-9128-7ef2bea13d82&algo_exp_id=d5b36faa-3119-41e6-9128-7ef2bea13d82-1&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2110.18%216.41%21%21%217.13%214.49%21%402101df0e17811300407642458ef6cc%2112000047651197808%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=ybAbZaZTAHk3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009032251207%7C_p_origin_prod%3A,Aliexpress,1 Comes with 8 batteries
2mm diameter screws,6,1.77,https://www.aliexpress.com/item/1005004112054251.html?spm=a2g0o.productlist.main.4.5d06a3ebsgfUtU&algo_pvid=b16913fd-35b8-43ac-8868-e4166326e105&algo_exp_id=b16913fd-35b8-43ac-8868-e4166326e105-5&pdp_ext_f=%7B%22order%22%3A%22405%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.87%211.21%21%21%211.31%210.85%21%40210311cc17811302419487238eb7ba%2112000028070150180%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=tTNwGQJJOu02&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004112054251%7C_p_origin_prod%3A,Aliexpress,1 Comes with 10 individual screws
Arduino UNO,1,1.3,https://www.aliexpress.com/item/1005009850029192.html?spm=a2g0o.productlist.main.1.7139PVzJPVzJbC&algo_pvid=ec56e32c-c487-4769-a382-40d0f7d27102&algo_exp_id=ec56e32c-c487-4769-a382-40d0f7d27102-7&pdp_ext_f=%7B%22order%22%3A%22528%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.30%211.12%21%21%216.15%215.29%21%402101d6ff17811301767831382e4364%2112000057379190415%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=niUQWE9HLo1K&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009850029192%7C_p_origin_prod%3A,Aliexpress,
3D printer ,1,239,https://ca.elegoo.com/products/elegoo-neptune-3-pro-fdm-3d-printer-225x225x280mm?variant=gid%3A%2F%2Fshopify%2FProductVariant%2F47691001331990&gad_source=1&gad_campaignid=21146430435&gbraid=0AAAAA9aWblw6re4m8qacHZWkKMr2R4-FR&gclid=Cj0KCQjw0JnRBhDJARIsALobnXZGSokEM0akk3iV133MIp12rrJ1LS5vwF3nDX6xQEYBCuMB8WcXzekaAoofEALw_wcB,Elegoo,Majority of parts are printed
Total,--,263.52,--,--,
Total w/out printer,--,24.52,--,--,May be more worth while to buy a kit rather than individual parts
